id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo_unitario_promedio
143;Leche Descremada 1 L;Lácteos;Leche;Laive;6.50;4.30
144;Leche Sin Lactosa 1 L;Lácteos;Leche;Laive;7.20;4.90
145;Leche Entera 1 L;Lácteos;Leche;Bonlé;6.20;4.10
146;Leche Chocolatada 1 L;Lácteos;Leche;Gloria;8.50;5.90
147;Leche UHT Entera 1 L;Lácteos;Leche;Laive;6.80;4.60
148;Leche Evaporada Light;Lácteos;Leche;Gloria;4.70;3.00
149;Leche Fresca 1 L;Lácteos;Leche;Laive;7.90;5.50
150;Yogurt Fresa 1 kg;Lácteos;Yogurt;Gloria;9.90;6.80
151;Yogurt Vainilla 1 kg;Lácteos;Yogurt;Gloria;9.90;6.80
152;Yogurt Durazno 1 kg;Lácteos;Yogurt;Laive;10.20;7.10
153;Yogurt Griego Natural;Lácteos;Yogurt;Laive;13.90;9.80
154;Yogurt Griego Fresa;Lácteos;Yogurt;Laive;14.20;10.10
155;Yogurt Bebible Fresa;Lácteos;Yogurt;Gloria;4.50;2.90
156;Yogurt Bebible Vainilla;Lácteos;Yogurt;Gloria;4.50;2.90
157;Queso Edam 250 g;Lácteos;Quesos;Bonlé;14.90;10.20
158;Queso Fresco 500 g;Lácteos;Quesos;Gloria;16.90;11.80
159;Queso Mozzarella 500 g;Lácteos;Quesos;Bonlé;19.90;14.10
160;Queso Parmesano 200 g;Lácteos;Quesos;Laive;17.90;12.60
161;Queso Gouda 250 g;Lácteos;Quesos;Bonlé;15.90;11.10
162;Queso Andino 500 g;Lácteos;Quesos;Laive;18.90;13.40
163;Queso Crema 200 g;Lácteos;Quesos;Philadelphia;12.90;9.10
164;Mantequilla con Sal 200 g;Lácteos;Mantequilla y Margarina;Gloria;11.90;8.20
165;Mantequilla sin Sal 200 g;Lácteos;Mantequilla y Margarina;Laive;12.50;8.70
166;Margarina 450 g;Lácteos;Mantequilla y Margarina;Doral;8.90;5.90
167;Margarina Light 450 g;Lácteos;Mantequilla y Margarina;Doral;9.50;6.30
168;Mantequilla Premium 250 g;Lácteos;Mantequilla y Margarina;Anchor;18.90;13.60
169;Margarina Familiar 900 g;Lácteos;Mantequilla y Margarina;Doral;14.90;10.50
170;Manzana Roja 1 kg;Frutas y Verduras;Frutas;Campo Fresco;6.9;4.6
171;Manzana Verde 1 kg;Frutas y Verduras;Frutas;Campo Fresco;7.2;4.9
172;Plátano de Seda 1 kg;Frutas y Verduras;Frutas;Campo Fresco;4.5;2.9
173;Plátano Bellaco 1 kg;Frutas y Verduras;Frutas;Campo Fresco;4.9;3.2
174;Naranja Valencia 1 kg;Frutas y Verduras;Frutas;Campo Fresco;5.9;3.8
175;Mandarina 1 kg;Frutas y Verduras;Frutas;Campo Fresco;6.5;4.2
176;Papaya 1 kg;Frutas y Verduras;Frutas;Campo Fresco;5.2;3.4
177;Piña Golden Unidad;Frutas y Verduras;Frutas;Campo Fresco;8.9;6.1
178;Palta Hass 1 kg;Frutas y Verduras;Frutas;Campo Fresco;12.9;9.1
179;Fresa 500 g;Frutas y Verduras;Frutas;Campo Fresco;9.9;6.9
180;Uva Red Globe 1 kg;Frutas y Verduras;Frutas;Campo Fresco;11.9;8.3
181;Mango Kent 1 kg;Frutas y Verduras;Frutas;Campo Fresco;8.9;6.1
182;Sandía 1 kg;Frutas y Verduras;Frutas;Campo Fresco;2.9;1.7
183;Melón 1 kg;Frutas y Verduras;Frutas;Campo Fresco;4.2;2.6
184;Pera Packham 1 kg;Frutas y Verduras;Frutas;Campo Fresco;7.9;5.4
185;Kiwi 500 g;Frutas y Verduras;Frutas;Campo Fresco;12.9;9.2
186;Arándanos 250 g;Frutas y Verduras;Frutas;Campo Fresco;14.9;10.8
187;Limón 1 kg;Frutas y Verduras;Frutas;Campo Fresco;5.4;3.5
188;Tomate Italiano 1 kg;Frutas y Verduras;Verduras;Campo Fresco;4.9;3.1
189;Cebolla Roja 1 kg;Frutas y Verduras;Verduras;Campo Fresco;3.9;2.4
190;Lechuga Americana Unidad;Frutas y Verduras;Verduras;Campo Fresco;3.5;2.2
191;Espinaca 300 g;Frutas y Verduras;Verduras;Campo Fresco;4.5;2.9
192;Brócoli Unidad;Frutas y Verduras;Verduras;Campo Fresco;5.9;3.9
193;Coliflor Unidad;Frutas y Verduras;Verduras;Campo Fresco;6.2;4.1
194;Pepino 1 kg;Frutas y Verduras;Verduras;Campo Fresco;4.9;3.2
195;Pimiento Rojo 1 kg;Frutas y Verduras;Verduras;Campo Fresco;8.9;6.2
196;Zanahoria 1 kg;Frutas y Verduras;Verduras;Campo Fresco;3.9;2.4
197;Zapallito Italiano 1 kg;Frutas y Verduras;Verduras;Campo Fresco;4.5;2.9
198;Ají Amarillo 250 g;Frutas y Verduras;Verduras;Campo Fresco;4.9;3.2
199;Apio Unidad;Frutas y Verduras;Verduras;Campo Fresco;3.9;2.5
200;Vainita 500 g;Frutas y Verduras;Verduras;Campo Fresco;5.9;4
201;Papa Blanca 1 kg;Frutas y Verduras;Tubérculos;Campo Fresco;3.2;1.9
202;Papa Amarilla 1 kg;Frutas y Verduras;Tubérculos;Campo Fresco;4.2;2.7
203;Camote Amarillo 1 kg;Frutas y Verduras;Tubérculos;Campo Fresco;3.9;2.4
204;Yuca 1 kg;Frutas y Verduras;Tubérculos;Campo Fresco;4.9;3.1
205;Olluco 1 kg;Frutas y Verduras;Tubérculos;Campo Fresco;5.2;3.4
206;Mashua 1 kg;Frutas y Verduras;Tubérculos;Campo Fresco;6.5;4.4
207;Oca 1 kg;Frutas y Verduras;Tubérculos;Campo Fresco;5.9;3.9
208;Jengibre 250 g;Frutas y Verduras;Tubérculos;Campo Fresco;4.5;2.9
209;Pechuga de Pollo 1 kg;Carnes y Aves;Pollo;San Fernando;21.9;16.4
210;Pierna de Pollo 1 kg;Carnes y Aves;Pollo;San Fernando;15.9;11.6
211;Muslo de Pollo 1 kg;Carnes y Aves;Pollo;Redondos;16.5;12.1
212;Alitas de Pollo 1 kg;Carnes y Aves;Pollo;Redondos;15.5;11.2
213;Pollo Entero;Carnes y Aves;Pollo;San Fernando;14.9;10.8
214;Filete de Pollo 1 kg;Carnes y Aves;Pollo;San Fernando;23.9;18.1
215;Mollejas de Pollo 1 kg;Carnes y Aves;Pollo;Redondos;10.9;7.6
216;Hígado de Pollo 1 kg;Carnes y Aves;Pollo;San Fernando;9.9;6.8
217;Bistec de Res 1 kg;Carnes y Aves;Res;La Segoviana;39.9;31.2
218;Lomo Fino 1 kg;Carnes y Aves;Res;La Segoviana;69.9;55.8
219;Asado de Tira 1 kg;Carnes y Aves;Res;La Segoviana;38.9;30.3
220;Carne Molida Especial 1 kg;Carnes y Aves;Res;La Segoviana;32.9;25.2
221;Punta de Pecho 1 kg;Carnes y Aves;Res;La Segoviana;31.9;24.2
222;Peceto 1 kg;Carnes y Aves;Res;La Segoviana;42.9;33.4
223;Bife Angosto 1 kg;Carnes y Aves;Res;La Segoviana;49.9;39.2
224;Entraña 1 kg;Carnes y Aves;Res;La Segoviana;52.9;41.6
225;Chuleta de Cerdo 1 kg;Carnes y Aves;Cerdo;Otto Kunz;28.9;22.1
226;Lomo de Cerdo 1 kg;Carnes y Aves;Cerdo;Otto Kunz;32.9;25.4
227;Costilla de Cerdo 1 kg;Carnes y Aves;Cerdo;Otto Kunz;29.9;22.8
228;Pierna de Cerdo 1 kg;Carnes y Aves;Cerdo;Otto Kunz;27.9;21.1
229;Panceta de Cerdo 1 kg;Carnes y Aves;Cerdo;Otto Kunz;30.9;23.7
230;Chuleta Ahumada 1 kg;Carnes y Aves;Cerdo;Otto Kunz;34.9;27.2
231;Jamón Inglés 200 g;Carnes y Aves;Embutidos;Otto Kunz;9.9;6.9
232;Jamón de Pavo 200 g;Carnes y Aves;Embutidos;San Fernando;10.9;7.7
233;Hot Dog Clásico 250 g;Carnes y Aves;Embutidos;Otto Kunz;7.9;5.3
234;Salchicha Parrillera 500 g;Carnes y Aves;Embutidos;Otto Kunz;15.9;11.4
235;Chorizo Parrillero 500 g;Carnes y Aves;Embutidos;Braedt;18.9;13.9
236;Mortadela Familiar 500 g;Carnes y Aves;Embutidos;Braedt;9.9;6.9
237;Salame 200 g;Carnes y Aves;Embutidos;Braedt;14.9;10.9
238;Papas Lays Clásicas 45 g;Snacks y Dulces;Papas Fritas y Snacks;Lays;3.5;2.2
239;Papas Lays Familiar 150 g;Snacks y Dulces;Papas Fritas y Snacks;Lays;9.9;6.8
240;Doritos Queso 150 g;Snacks y Dulces;Papas Fritas y Snacks;Doritos;10.5;7.2
241;Chizitos 150 g;Snacks y Dulces;Papas Fritas y Snacks;Karinto;6.9;4.6
242;Piqueo Snax 200 g;Snacks y Dulces;Papas Fritas y Snacks;Karinto;8.9;6
243;Pringles Original 110 g;Snacks y Dulces;Papas Fritas y Snacks;Pringles;11.9;8.5
244;Maní Salado 200 g;Snacks y Dulces;Papas Fritas y Snacks;Karinto;5.9;3.9
245;Mix de Frutos Secos 200 g;Snacks y Dulces;Papas Fritas y Snacks;Villa Natura;14.9;10.8
246;Canchita Salada 100 g;Snacks y Dulces;Papas Fritas y Snacks;Karinto;4.5;2.9
247;Nachos Naturales 200 g;Snacks y Dulces;Papas Fritas y Snacks;Doritos;12.9;9.2
248;Chocolate Sublime;Snacks y Dulces;Chocolates;Nestlé;2.5;1.5
249;Chocolate Triángulo;Snacks y Dulces;Chocolates;Winter's;2.2;1.3
250;Chocolate Princesa;Snacks y Dulces;Chocolates;Nestlé;2.5;1.5
251;Chocolate Costa Leche;Snacks y Dulces;Chocolates;Costa;4.5;2.9
252;Chocolate Hershey's Milk;Snacks y Dulces;Chocolates;Hershey's;6.9;4.7
253;Chocolate KitKat 4 Fingers;Snacks y Dulces;Chocolates;Nestlé;4.2;2.8
254;Chocolate Snickers;Snacks y Dulces;Chocolates;Snickers;4.5;3
255;Chocolate Milkybar;Snacks y Dulces;Chocolates;Nestlé;3.9;2.6
256;Chocolate Vizzio Almendras;Snacks y Dulces;Chocolates;Costa;8.9;6.2
257;Chocolate Ferrero Rocher 8 u;Snacks y Dulces;Chocolates;Ferrero;24.9;18.5
258;Galletas Casino Vainilla;Snacks y Dulces;Galletas Dulces;Field;2.5;1.5
259;Galletas Casino Chocolate;Snacks y Dulces;Galletas Dulces;Field;2.5;1.5
260;Galletas Oreo Original;Snacks y Dulces;Galletas Dulces;Oreo;3.2;2
261;Galletas Oreo Doble Crema;Snacks y Dulces;Galletas Dulces;Oreo;3.5;2.2
262;Galletas Pícaras;Snacks y Dulces;Galletas Dulces;Nestlé;3.2;2
263;Galletas Charada;Snacks y Dulces;Galletas Dulces;Field;2.9;1.8
264;Galletas Soda Field;Snacks y Dulces;Galletas Dulces;Field;3.5;2.3
265;Galletas Integrales;Snacks y Dulces;Galletas Dulces;McKay;5.9;4.1
266;Galletas Chips Ahoy!;Snacks y Dulces;Galletas Dulces;Nabisco;6.9;4.8
267;Galletas Morochas;Snacks y Dulces;Galletas Dulces;Nestlé;2.9;1.8
268;Caramelos Halls Menta;Snacks y Dulces;Caramelos y Chicles;Halls;2.5;1.5
269;Caramelos Halls Cereza;Snacks y Dulces;Caramelos y Chicles;Halls;2.5;1.5
270;Chicles Trident Hierbabuena;Snacks y Dulces;Caramelos y Chicles;Trident;3.5;2.2
271;Chicles Trident Sandía;Snacks y Dulces;Caramelos y Chicles;Trident;3.5;2.2
272;Chicles Orbit Menta;Snacks y Dulces;Caramelos y Chicles;Orbit;3.9;2.5
273;Caramelos Mentos Frutas;Snacks y Dulces;Caramelos y Chicles;Mentos;3.5;2.2
274;Caramelos Ambrosoli Surtidos;Snacks y Dulces;Caramelos y Chicles;Ambrosoli;4.5;2.9
275;Gomitas Fini Ositos;Snacks y Dulces;Caramelos y Chicles;Fini;6.9;4.8
276;Gomitas Trululu Ácidos;Snacks y Dulces;Caramelos y Chicles;Trululu;5.9;4
277;Paletas Chupetín;Snacks y Dulces;Caramelos y Chicles;Ambrosoli;4.9;3.3
278;Detergente Bolívar 1 kg;Limpieza;Detergentes;Bolívar;11.9;8.1
279;Detergente Ariel 1 kg;Limpieza;Detergentes;Ariel;15.9;11.4
280;Detergente Ace 800 g;Limpieza;Detergentes;Ace;10.9;7.4
281;Detergente Sapolio 900 g;Limpieza;Detergentes;Sapolio;9.9;6.7
282;Detergente Opal 1 kg;Limpieza;Detergentes;Opal;8.9;5.9
283;Detergente Bolívar 3 kg;Limpieza;Detergentes;Bolívar;32.9;24.8
284;Detergente Ariel Pods 15 u;Limpieza;Detergentes;Ariel;39.9;30.2
285;Detergente Líquido Ariel 2 L;Limpieza;Detergentes;Ariel;34.9;25.9
286;Detergente Líquido Bolívar 2 L;Limpieza;Detergentes;Bolívar;28.9;20.8
287;Suavizante Downy 1 L;Limpieza;Detergentes;Downy;16.9;12.2
288;Lavavajillas Ayudín 500 ml;Limpieza;Lavavajillas;Ayudín;6.5;4.2
289;Lavavajillas Sapolio Limón;Limpieza;Lavavajillas;Sapolio;5.9;3.8
290;Lavavajillas Magistral 650 ml;Limpieza;Lavavajillas;Magistral;7.2;4.8
291;Lavavajillas Ayudín Repuesto;Limpieza;Lavavajillas;Ayudín;5.9;3.9
292;Esponja Multiuso;Limpieza;Lavavajillas;3M;4.5;2.9
293;Esponja Antibacterial;Limpieza;Lavavajillas;Scotch-Brite;5.9;3.9
294;Guantes de Limpieza M;Limpieza;Lavavajillas;Virutex;8.9;6.1
295;Guantes de Limpieza L;Limpieza;Lavavajillas;Virutex;8.9;6.1
296;Paño Microfibra;Limpieza;Lavavajillas;Virutex;6.9;4.6
297;Escobilla para Vasos;Limpieza;Lavavajillas;Virutex;7.9;5.3
298;Lejía Ayudín 2 L;Limpieza;Desinfectantes;Ayudín;7.9;5.2
299;Lejía Clorox 2 L;Limpieza;Desinfectantes;Clorox;8.9;5.9
300;Desinfectante Poett Lavanda;Limpieza;Desinfectantes;Poett;9.9;6.8
301;Desinfectante Poett Floral;Limpieza;Desinfectantes;Poett;9.9;6.8
302;Alcohol 70% 1 L;Limpieza;Desinfectantes;Suiza Lab;14.9;10.8
303;Limpiador Antibacterial;Limpieza;Desinfectantes;Lysol;18.9;13.9
304;Desinfectante Multiuso;Limpieza;Desinfectantes;Mr. Músculo;12.9;9.2
305;Cloro Gel;Limpieza;Desinfectantes;Ayudín;8.9;6
306;Desinfectante Cítrico;Limpieza;Desinfectantes;Poett;10.5;7.2
307;Toallas Desinfectantes 80 u;Limpieza;Desinfectantes;Lysol;19.9;14.8
308;Limpiavidrios 500 ml;Limpieza;Limpiadores Multiuso;Mr. Músculo;10.9;7.6
309;Limpiador Multiuso Lavanda;Limpieza;Limpiadores Multiuso;Sapolio;8.9;6
310;Limpiador Multiuso Limón;Limpieza;Limpiadores Multiuso;Sapolio;8.9;6
311;Limpiador de Baño;Limpieza;Limpiadores Multiuso;Mr. Músculo;11.9;8.4
312;Limpiador de Cocina;Limpieza;Limpiadores Multiuso;Cif;12.9;9.1
313;Crema Limpiadora;Limpieza;Limpiadores Multiuso;Cif;9.9;6.8
314;Limpiador para Pisos;Limpieza;Limpiadores Multiuso;Poett;10.9;7.6
315;Lustramuebles;Limpieza;Limpiadores Multiuso;Blem;15.9;11.4
316;Quitagrasa Cocina;Limpieza;Limpiadores Multiuso;Cif;12.9;9.1
317;Limpiador de Acero Inoxidable;Limpieza;Limpiadores Multiuso;3M;17.9;13.1
318;Papel Higiénico Elite 12 rollos;Limpieza;Papel Higiénico y Papel Toalla;Elite;22.9;16.8
319;Papel Higiénico Suave 12 rollos;Limpieza;Papel Higiénico y Papel Toalla;Suave;19.9;14.2
320;Papel Higiénico Noble 12 rollos;Limpieza;Papel Higiénico y Papel Toalla;Noble;21.9;15.8
321;Papel Toalla Elite 2 rollos;Limpieza;Papel Higiénico y Papel Toalla;Elite;10.9;7.5
322;Papel Toalla Scott;Limpieza;Papel Higiénico y Papel Toalla;Scott;11.9;8.2
323;Servilletas Elite 200 hojas;Limpieza;Papel Higiénico y Papel Toalla;Elite;7.9;5.3
