id_cliente;probabilidad_abandono;riesgo
146;0.0;
147;0.74;Alto
148;0.07;Bajo
149;0.14;Bajo
150;0.29;Bajo
151;0.03;Bajo
152;0.03;Bajo
153;0.07;Bajo
154;0.81;Alto
155;0.27;Bajo
156;0.97;Alto
157;0.26;Bajo
158;0.02;Bajo
159;0.0;
160;0.14;Bajo
161;0.17;Bajo
162;0.16;Bajo
163;0.23;Bajo
164;0.01;Bajo
165;0.84;Alto
166;0.08;Bajo
167;0.01;Bajo
168;0.27;Bajo
169;0.14;Bajo
170;0.0;
171;0.94;Alto
172;0.39;Medio
173;0.06;Bajo
174;0.05;Bajo
175;0.84;Alto
176;0.81;Alto
177;0.04;Bajo
178;0.0;
179;0.06;Bajo
180;0.18;Bajo
181;0.66;Medio
182;0.08;Bajo
183;0.04;Bajo
184;0.73;Alto
185;0.09;Bajo
186;0.07;Bajo
187;0.0;
188;0.12;Bajo
189;0.06;Bajo
190;0.03;Bajo
191;0.04;Bajo
192;0.06;Bajo
193;0.69;Medio
194;0.04;Bajo
195;0.23;Bajo
196;0.96;Alto
197;0.12;Bajo
198;0.0;
199;0.01;Bajo
200;0.73;Alto
201;0.13;Bajo
202;0.72;Alto
203;0.23;Bajo
204;0.32;Medio
205;0.31;Medio
206;0.12;Bajo
207;0.07;Bajo
208;0.73;Alto
209;0.05;Bajo
210;0.0;
211;0.83;Alto
212;0.17;Bajo
213;0.53;Medio
214;0.06;Bajo
215;0.23;Bajo
216;0.7;Medio
217;0.86;Alto
218;0.03;Bajo
219;0.04;Bajo
220;0.81;Alto
221;0.82;Alto
222;0.74;Alto
223;0.04;Bajo
224;0.02;Bajo
225;0.25;Bajo
226;0.03;Bajo
227;0.08;Bajo
228;0.04;Bajo
229;0.59;Medio
230;0.03;Bajo
231;0.25;Bajo
232;0.01;Bajo
233;0.2;Bajo
234;0.07;Bajo
235;0.08;Bajo
236;0.01;Bajo
237;0.06;Bajo
238;0.01;Bajo
239;0.22;Bajo
240;0.2;Bajo
241;0.06;Bajo
242;0.02;Bajo
243;0.65;Medio
244;0.19;Bajo
245;0.73;Alto
246;0.04;Bajo
247;0.84;Alto
248;0.6;Medio
249;0.75;Alto
250;0.11;Bajo
251;0.75;Alto
252;0.03;Bajo
253;0.03;Bajo
254;0.01;Bajo
255;0.29;Bajo
256;0.69;Medio
257;0.07;Bajo
258;0.68;Medio
259;0.9;Alto
260;0.01;Bajo
261;0.03;Bajo
262;0.23;Bajo
263;0.07;Bajo
264;0.14;Bajo
265;0.12;Bajo
266;0.1;Bajo
267;0.79;Alto
268;0.0;
269;0.25;Bajo
270;0.07;Bajo
271;0.23;Bajo
272;0.15;Bajo
273;0.75;Alto
274;0.1;Bajo
275;0.29;Bajo
276;0.89;Alto
277;0.74;Alto
278;0.81;Alto
279;0.05;Bajo
280;0.02;Bajo
281;0.01;Bajo
282;0.17;Bajo
283;0.07;Bajo
284;0.23;Bajo
285;0.02;Bajo
286;0.06;Bajo
287;0.13;Bajo
288;0.94;Alto
289;0.34;Medio
290;0.02;Bajo
291;0.15;Bajo
292;0.03;Bajo
293;0.23;Bajo
294;0.0;
295;0.0;
296;0.08;Bajo
297;0.03;Bajo
298;0.68;Medio
299;0.86;Alto
300;0.14;Bajo
301;0.04;Bajo
302;0.03;Bajo
303;0.16;Bajo
304;0.02;Bajo
305;0.02;Bajo
306;0.57;Medio
307;0.89;Alto
308;0.0;
309;0.1;Bajo
310;0.03;Bajo
311;0.44;Medio
312;0.08;Bajo
313;0.08;Bajo
314;0.05;Bajo
315;0.0;
316;0.79;Alto
317;0.18;Bajo
318;0.48;Medio
319;0.01;Bajo
320;0.04;Bajo
321;0.12;Bajo
322;0.18;Bajo
323;0.05;Bajo
324;0.07;Bajo
325;0.06;Bajo
326;0.02;Bajo
327;0.0;
328;0.02;Bajo
329;0.11;Bajo
330;0.12;Bajo
331;0.11;Bajo
332;0.2;Bajo
333;0.03;Bajo
334;0.13;Bajo
335;0.81;Alto
336;0.01;Bajo
337;0.08;Bajo
338;0.01;Bajo
339;0.9;Alto
340;0.02;Bajo
341;0.63;Medio
342;0.8;Alto
343;0.78;Alto
344;0.69;Medio
345;0.29;Bajo
346;0.03;Bajo
347;0.9;Alto
348;0.15;Bajo
349;0.08;Bajo
350;0.15;Bajo
351;0.07;Bajo
352;0.12;Bajo
353;0.94;Alto
354;0.03;Bajo
355;0.0;
356;0.43;Medio
357;0.23;Bajo
358;0.97;Alto
359;0.04;Bajo
360;0.0;
361;0.78;Alto
362;0.13;Bajo
363;0.23;Bajo
364;0.02;Bajo
365;0.11;Bajo
366;0.7;Medio
367;0.67;Medio
368;0.01;Bajo
369;0.12;Bajo
370;0.82;Alto
371;0.07;Bajo
372;0.02;Bajo
373;0.93;Alto
374;0.08;Bajo
375;0.01;Bajo
376;0.29;Bajo
377;0.0;
378;0.07;Bajo
379;0.0;
380;0.06;Bajo
381;0.35;Medio
382;0.09;Bajo
383;0.18;Bajo
384;0.09;Bajo
385;0.02;Bajo
386;0.0;
387;0.16;Bajo
388;0.09;Bajo
389;0.0;
390;0.04;Bajo
391;0.01;Bajo
392;0.05;Bajo
393;0.79;Alto
394;0.11;Bajo
395;0.02;Bajo
396;0.0;
397;0.9;Alto
398;0.73;Alto
399;0.0;
400;0.04;Bajo
401;0.2;Bajo
402;0.0;
403;0.0;
404;0.0;
405;0.03;Bajo
406;0.03;Bajo
407;0.06;Bajo
408;0.9;Alto
409;0.04;Bajo
410;0.0;
411;0.07;Bajo
412;0.07;Bajo
413;0.04;Bajo
414;0.85;Alto
415;0.21;Bajo
416;0.13;Bajo
417;0.01;Bajo
418;0.06;Bajo
419;0.18;Bajo
420;0.02;Bajo
421;0.04;Bajo
422;0.07;Bajo
423;0.02;Bajo
424;0.06;Bajo
425;0.08;Bajo
426;0.0;
427;0.05;Bajo
428;0.75;Alto
429;0.14;Bajo
430;0.0;
431;0.87;Alto
432;0.72;Alto
433;0.09;Bajo
434;0.0;
435;0.02;Bajo
436;0.14;Bajo
437;0.0;
438;0.1;Bajo
439;0.11;Bajo
440;0.09;Bajo
441;0.76;Alto
442;0.05;Bajo
443;0.84;Alto
444;0.03;Bajo
445;0.06;Bajo
446;0.05;Bajo
447;0.02;Bajo
448;0.16;Bajo
449;0.24;Bajo
450;0.11;Bajo
451;0.04;Bajo
452;0.1;Bajo
453;0.05;Bajo
454;0.05;Bajo
455;0.01;Bajo
456;0.03;Bajo
457;0.0;
458;0.02;Bajo
459;0.1;Bajo
460;0.01;Bajo
461;0.86;Alto
462;0.07;Bajo
463;0.88;Alto
464;0.61;Medio
465;0.59;Medio
466;0.01;Bajo
467;0.0;
468;0.27;Bajo
469;0.0;
470;0.06;Bajo
471;0.04;Bajo
472;0.85;Alto
473;0.0;
474;0.01;Bajo
475;0.06;Bajo
476;0.51;Medio
477;0.0;
478;0.09;Bajo
479;0.0;
480;0.87;Alto
481;0.01;Bajo
482;0.95;Alto
483;0.48;Medio
484;0.04;Bajo
485;0.19;Bajo
486;0.13;Bajo
487;0.02;Bajo
488;0.08;Bajo
489;0.24;Bajo
490;0.06;Bajo
491;0.36;Medio
492;0.98;Alto
493;0.59;Medio
494;0.01;Bajo
495;0.28;Bajo
496;0.14;Bajo
497;0.68;Medio
498;0.02;Bajo
499;0.87;Alto
500;0.0;
501;0.28;Bajo
502;0.98;Alto
503;0.01;Bajo
504;0.01;Bajo
505;0.0;
506;0.75;Alto
507;0.0;
508;0.91;Alto
509;0.02;Bajo
510;0.0;
511;0.1;Bajo
512;0.0;
513;0.02;Bajo
514;0.01;Bajo
515;0.01;Bajo
516;0.03;Bajo
517;0.74;Alto
518;0.03;Bajo
519;0.06;Bajo
520;0.0;
521;0.78;Alto
522;0.92;Alto
523;0.33;Medio
524;0.05;Bajo
525;0.84;Alto
526;0.05;Bajo
527;0.78;Alto
528;0.7;Medio
529;0.01;Bajo
530;0.13;Bajo
531;0.13;Bajo
532;0.0;
533;0.02;Bajo
534;0.96;Alto
535;0.0;
536;0.02;Bajo
537;0.03;Bajo
538;0.01;Bajo
539;0.03;Bajo
540;0.9;Alto
541;0.1;Bajo
542;0.01;Bajo
543;0.12;Bajo
544;0.01;Bajo
545;0.01;Bajo
546;0.05;Bajo
547;0.02;Bajo
548;0.79;Alto
549;0.11;Bajo
550;0.87;Alto
551;0.03;Bajo
552;0.15;Bajo
553;0.0;
554;0.0;
555;0.05;Bajo
556;0.11;Bajo
557;0.13;Bajo
558;0.0;
559;0.18;Bajo
560;0.07;Bajo
561;0.1;Bajo
562;0.02;Bajo
563;0.64;Medio
564;0.02;Bajo
565;0.01;Bajo
566;0.03;Bajo
567;0.81;Alto
568;0.75;Alto
569;0.0;
570;0.03;Bajo
571;0.93;Alto
572;0.2;Bajo
573;0.0;
574;0.32;Medio
575;0.85;Alto
576;0.83;Alto
577;0.15;Bajo
578;0.95;Alto
579;0.17;Bajo
580;0.03;Bajo
581;0.92;Alto
582;0.2;Bajo
583;0.0;
584;0.05;Bajo
585;0.98;Alto
586;0.04;Bajo
587;0.25;Bajo
588;0.8;Alto
589;0.02;Bajo
590;0.01;Bajo
591;0.68;Medio
592;0.16;Bajo
593;0.17;Bajo
594;0.02;Bajo
595;0.19;Bajo
596;0.01;Bajo
597;0.43;Medio
598;0.08;Bajo
599;0.66;Medio
600;0.09;Bajo
601;0.66;Medio
602;0.11;Bajo
603;0.0;
604;0.07;Bajo
605;0.07;Bajo
606;0.77;Alto
607;0.26;Bajo
608;0.1;Bajo
609;0.0;
610;0.66;Medio
611;0.0;
612;0.0;
613;0.19;Bajo
614;0.88;Alto
615;0.06;Bajo
616;0.39;Medio
617;0.88;Alto
618;0.16;Bajo
619;0.02;Bajo
620;0.56;Medio
621;0.84;Alto
622;0.65;Medio
623;0.78;Alto
624;0.63;Medio
625;0.17;Bajo
626;0.0;
627;0.1;Bajo
628;0.01;Bajo
629;0.41;Medio
630;0.01;Bajo
631;0.05;Bajo
632;0.04;Bajo
633;0.1;Bajo
634;0.07;Bajo
635;0.08;Bajo
636;0.34;Medio
637;0.07;Bajo
638;0.0;
639;0.84;Alto
640;0.67;Medio
641;0.19;Bajo
642;0.14;Bajo
643;0.01;Bajo
644;0.19;Bajo
645;0.32;Medio
646;0.6;Medio
647;0.05;Bajo
648;0.01;Bajo
649;0.0;
650;0.8;Alto
651;0.05;Bajo
652;0.0;
653;0.06;Bajo
654;0.0;
655;0.91;Alto
656;0.2;Bajo
657;0.19;Bajo
658;0.81;Alto
659;0.14;Bajo
660;0.93;Alto
661;0.05;Bajo
662;0.19;Bajo
663;0.86;Alto
664;0.01;Bajo
665;0.1;Bajo
666;0.07;Bajo
667;0.03;Bajo
668;0.11;Bajo
669;0.0;
670;0.01;Bajo
671;0.13;Bajo
672;0.0;
673;0.23;Bajo
674;0.69;Medio
675;0.83;Alto
676;0.1;Bajo
677;0.02;Bajo
678;0.67;Medio
679;0.01;Bajo
680;0.79;Alto
681;0.0;
682;0.08;Bajo
683;0.2;Bajo
684;0.77;Alto
685;0.05;Bajo
686;0.0;
687;0.13;Bajo
688;0.11;Bajo
689;0.07;Bajo
690;0.03;Bajo
691;0.19;Bajo
692;0.32;Medio
693;0.02;Bajo
694;0.19;Bajo
695;0.04;Bajo
696;0.87;Alto
697;0.95;Alto
698;0.37;Medio
699;0.1;Bajo
700;0.74;Alto
701;0.0;
702;0.46;Medio
703;0.24;Bajo
704;0.0;
705;0.25;Bajo
706;0.29;Bajo
707;0.0;
708;0.98;Alto
709;0.09;Bajo
710;0.06;Bajo
711;0.01;Bajo
712;0.06;Bajo
713;0.08;Bajo
714;0.61;Medio
715;0.79;Alto
716;0.04;Bajo
717;0.25;Bajo
718;0.36;Medio
719;0.08;Bajo
720;0.16;Bajo
721;0.18;Bajo
722;0.96;Alto
723;0.01;Bajo
724;0.11;Bajo
725;0.53;Medio
726;0.03;Bajo
727;0.2;Bajo
728;0.15;Bajo
729;0.18;Bajo
730;0.0;
731;0.02;Bajo
732;0.79;Alto
733;0.13;Bajo
734;0.1;Bajo
735;0.0;
736;0.0;
737;0.02;Bajo
738;0.06;Bajo
739;0.03;Bajo
740;0.06;Bajo
741;0.07;Bajo
742;0.03;Bajo
743;0.72;Alto
744;0.81;Alto
745;0.69;Medio
746;0.34;Medio
747;0.87;Alto
748;0.0;
749;0.99;Alto
750;0.0;
751;0.01;Bajo
752;0.01;Bajo
753;0.08;Bajo
754;0.15;Bajo
755;0.02;Bajo
756;0.09;Bajo
757;0.02;Bajo
758;0.0;
759;0.18;Bajo
760;0.26;Bajo
761;0.01;Bajo
762;0.06;Bajo
763;0.58;Medio
764;0.03;Bajo
765;0.01;Bajo
766;0.7;Medio
767;0.11;Bajo
768;0.53;Medio
769;0.13;Bajo
770;0.66;Medio
771;0.0;
772;0.04;Bajo
773;0.05;Bajo
774;0.76;Alto
775;0.0;
776;0.88;Alto
777;0.7;Medio
778;0.13;Bajo
779;0.64;Medio
780;0.1;Bajo
781;0.15;Bajo
782;0.02;Bajo
783;0.63;Medio
784;0.89;Alto
785;0.06;Bajo
786;0.01;Bajo
787;0.21;Bajo
788;0.32;Medio
789;0.67;Medio
790;0.06;Bajo
791;0.02;Bajo
792;0.02;Bajo
793;0.08;Bajo
794;0.0;
795;0.3;Bajo
796;0.94;Alto
797;0.06;Bajo
798;0.44;Medio
799;0.03;Bajo
800;0.02;Bajo
801;0.02;Bajo
802;0.05;Bajo
803;0.02;Bajo
804;0.22;Bajo
805;0.05;Bajo
806;0.02;Bajo
807;0.0;
808;0.0;
809;0.72;Alto
810;0.22;Bajo
811;0.83;Alto
812;0.74;Alto
813;0.91;Alto
814;0.0;
815;0.09;Bajo
816;0.03;Bajo
817;0.72;Alto
818;0.73;Alto
819;0.91;Alto
820;0.04;Bajo
821;0.78;Alto
822;0.0;
823;0.2;Bajo
824;0.28;Bajo
825;0.1;Bajo
826;0.0;
827;0.03;Bajo
828;0.03;Bajo
829;0.05;Bajo
830;0.91;Alto
831;0.16;Bajo
832;0.12;Bajo
833;0.0;
834;0.01;Bajo
835;0.04;Bajo
836;0.12;Bajo
837;0.01;Bajo
838;0.63;Medio
839;0.11;Bajo
840;0.13;Bajo
841;0.0;
842;0.12;Bajo
843;0.25;Bajo
844;0.04;Bajo
845;0.2;Bajo
846;0.81;Alto
847;0.67;Medio
848;0.12;Bajo
849;0.02;Bajo
850;0.07;Bajo
851;0.33;Medio
852;0.45;Medio
853;0.0;
854;0.74;Alto
855;0.42;Medio
856;0.22;Bajo
857;0.81;Alto
858;0.06;Bajo
859;0.34;Medio
860;0.05;Bajo
861;0.05;Bajo
862;0.7;Medio
863;0.14;Bajo
864;0.02;Bajo
865;0.02;Bajo
866;0.34;Medio
867;0.3;Bajo
868;0.93;Alto
869;0.0;
870;0.03;Bajo
871;0.01;Bajo
872;0.04;Bajo
873;0.66;Medio
874;0.1;Bajo
875;0.08;Bajo
876;0.02;Bajo
877;0.05;Bajo
878;0.72;Alto
879;0.34;Medio
880;0.54;Medio
881;0.08;Bajo
882;0.19;Bajo
883;0.02;Bajo
884;0.88;Alto
885;0.01;Bajo
886;0.02;Bajo
887;0.05;Bajo
888;0.02;Bajo
889;0.01;Bajo
890;0.02;Bajo
891;0.0;
892;0.05;Bajo
893;0.1;Bajo
894;0.0;
895;0.0;
896;0.07;Bajo
897;0.0;
898;0.18;Bajo
899;0.06;Bajo
900;0.01;Bajo
901;0.78;Alto
902;0.08;Bajo
903;0.01;Bajo
904;0.21;Bajo
905;0.02;Bajo
906;0.77;Alto
907;0.02;Bajo
908;0.0;
909;0.0;
910;0.18;Bajo
911;0.01;Bajo
912;0.1;Bajo
913;0.04;Bajo
914;0.82;Alto
915;0.79;Alto
916;0.84;Alto
917;0.07;Bajo
918;0.97;Alto
919;0.19;Bajo
920;0.03;Bajo
921;0.01;Bajo
922;0.07;Bajo
923;0.02;Bajo
924;0.02;Bajo
925;0.0;
926;0.08;Bajo
927;0.72;Alto
928;0.0;
929;0.25;Bajo
930;0.06;Bajo
931;0.39;Medio
932;0.22;Bajo
933;0.0;
934;0.82;Alto
935;0.68;Medio
936;0.13;Bajo
937;0.03;Bajo
938;0.04;Bajo
939;0.0;
940;0.67;Medio
941;0.0;
942;0.08;Bajo
943;0.0;
944;0.0;
945;0.11;Bajo
946;0.09;Bajo
947;0.08;Bajo
948;0.0;
949;0.77;Alto
950;0.13;Bajo
951;0.04;Bajo
952;0.3;Bajo
953;0.15;Bajo
954;0.25;Bajo
955;0.93;Alto
956;0.79;Alto
957;0.01;Bajo
958;0.33;Medio
959;0.01;Bajo
960;0.03;Bajo
961;0.53;Medio
962;0.01;Bajo
963;0.37;Medio
964;0.08;Bajo
965;0.05;Bajo
966;0.9;Alto
967;0.19;Bajo
968;0.04;Bajo
969;0.02;Bajo
970;0.08;Bajo
971;0.08;Bajo
972;0.98;Alto
973;0.81;Alto
974;0.67;Medio
975;0.04;Bajo
976;0.02;Bajo
977;0.01;Bajo
978;0.02;Bajo
979;0.01;Bajo
980;0.0;
981;0.09;Bajo
982;0.01;Bajo
983;0.0;
984;0.05;Bajo
985;0.81;Alto
986;0.41;Medio
987;0.02;Bajo
988;0.14;Bajo
989;0.12;Bajo
990;0.69;Medio
991;0.02;Bajo
992;0.02;Bajo
993;0.04;Bajo
994;0.0;
995;0.01;Bajo
996;0.04;Bajo
997;0.07;Bajo
998;0.04;Bajo
999;0.01;Bajo
1000;0.26;Bajo
1001;0.79;Alto
1002;0.19;Bajo
1003;0.02;Bajo
1004;0.7;Medio
1005;0.04;Bajo
1006;0.02;Bajo
1007;0.73;Alto
1008;0.03;Bajo
1009;0.05;Bajo
1010;0.03;Bajo
1011;0.68;Medio
1012;0.0;
1013;0.02;Bajo
1014;0.2;Bajo
1015;0.07;Bajo
1016;0.27;Bajo
1017;0.09;Bajo
1018;0.05;Bajo
1019;0.36;Medio
1020;0.0;
1021;0.69;Medio
1022;0.49;Medio
1023;0.9;Alto
1024;0.81;Alto
1025;0.31;Medio
1026;0.8;Alto
1027;0.14;Bajo
1028;0.09;Bajo
1029;0.1;Bajo
1030;0.04;Bajo
1031;0.0;
1032;0.3;Bajo
1033;0.03;Bajo
1034;0.01;Bajo
1035;0.0;
1036;0.59;Medio
1037;0.92;Alto
1038;0.04;Bajo
1039;0.01;Bajo
1040;0.13;Bajo
1041;0.83;Alto
1042;0.02;Bajo
1043;0.66;Medio
1044;0.33;Medio
1045;0.09;Bajo
1046;0.01;Bajo
1047;0.66;Medio
1048;0.95;Alto
1049;0.28;Bajo
1050;0.03;Bajo
1051;0.19;Bajo
1052;0.4;Medio
1053;0.0;
1054;0.29;Bajo
1055;0.05;Bajo
1056;0.02;Bajo
1057;0.04;Bajo
1058;0.0;
1059;0.07;Bajo
1060;0.82;Alto
1061;0.08;Bajo
1062;0.74;Alto
1063;0.08;Bajo
1064;0.89;Alto
1065;0.91;Alto
1066;0.67;Medio
1067;0.79;Alto
1068;0.01;Bajo
1069;0.0;
1070;0.05;Bajo
1071;0.12;Bajo
1072;0.1;Bajo
1073;0.02;Bajo
1074;0.87;Alto
1075;0.01;Bajo
1076;0.01;Bajo
1077;0.05;Bajo
1078;1.0;Alto
1079;0.15;Bajo
1080;0.13;Bajo
1081;0.72;Alto
1082;0.12;Bajo
1083;0.02;Bajo
1084;0.88;Alto
1085;0.19;Bajo
1086;0.01;Bajo
1087;0.04;Bajo
1088;0.65;Medio
1089;0.02;Bajo
1090;0.76;Alto
1091;0.0;
1092;0.6;Medio
1093;0.04;Bajo
1094;0.01;Bajo
1095;0.25;Bajo
1096;0.58;Medio
1097;0.85;Alto
1098;0.36;Medio
1099;0.06;Bajo
1100;0.03;Bajo
1101;0.02;Bajo
1102;0.04;Bajo
1103;0.28;Bajo
1104;0.14;Bajo
1105;0.2;Bajo
1106;0.0;
1107;0.02;Bajo
1108;0.02;Bajo
1109;0.01;Bajo
1110;0.01;Bajo
1111;0.03;Bajo
1112;0.87;Alto
1113;0.86;Alto
1114;0.03;Bajo
1115;0.65;Medio
1116;0.8;Alto
1117;0.02;Bajo
1118;0.03;Bajo
1119;0.03;Bajo
1120;0.11;Bajo
1121;0.01;Bajo
1122;0.03;Bajo
1123;0.06;Bajo
1124;0.06;Bajo
1125;0.02;Bajo
1126;0.76;Alto
1127;0.04;Bajo
1128;0.78;Alto
1129;0.12;Bajo
1130;0.04;Bajo
1131;0.39;Medio
1132;0.03;Bajo
1133;0.02;Bajo
1134;0.6;Medio
1135;0.11;Bajo
1136;0.06;Bajo
1137;0.23;Bajo
1138;0.02;Bajo
1139;0.93;Alto
1140;0.07;Bajo
1141;0.03;Bajo
1142;0.0;
1143;0.36;Medio
1144;0.14;Bajo
1145;0.22;Bajo
1146;0.0;
1147;0.01;Bajo
1148;0.0;
1149;0.0;
1150;0.01;Bajo
1151;0.11;Bajo
1152;0.85;Alto
1153;0.85;Alto
1154;0.0;
1155;0.02;Bajo
1156;0.93;Alto
1157;0.69;Medio
1158;0.08;Bajo
1159;0.0;
1160;1.0;Alto
1161;0.03;Bajo
1162;0.13;Bajo
1163;0.08;Bajo
1164;0.0;
1165;0.07;Bajo
1166;0.13;Bajo
1167;0.85;Alto
1168;0.67;Medio
1169;0.09;Bajo
1170;0.15;Bajo
1171;0.02;Bajo
1172;0.05;Bajo
1173;0.05;Bajo
1174;0.38;Medio
1175;0.5;Medio
1176;0.0;
1177;0.05;Bajo
1178;0.25;Bajo
1179;0.73;Alto
1180;0.04;Bajo
1181;0.7;Medio
1182;0.74;Alto
1183;0.02;Bajo
1184;0.91;Alto
1185;0.95;Alto
1186;0.81;Alto
1187;0.81;Alto
1188;0.0;
1189;0.82;Alto
1190;0.59;Medio
1191;0.89;Alto
1192;0.81;Alto
1193;0.23;Bajo
1194;0.16;Bajo
1195;0.0;
1196;0.8;Alto
1197;0.02;Bajo
1198;0.05;Bajo
1199;0.0;
1200;0.08;Bajo
1201;0.9;Alto
1202;0.78;Alto
1203;0.0;
1204;0.12;Bajo
1205;0.1;Bajo
1206;0.05;Bajo
1207;0.0;
1208;0.21;Bajo
1209;0.07;Bajo
1210;0.88;Alto
1211;0.83;Alto
1212;0.05;Bajo
1213;0.0;
1214;0.05;Bajo
1215;0.05;Bajo
1216;0.81;Alto
1217;0.07;Bajo
1218;0.02;Bajo
1219;0.18;Bajo
1220;0.1;Bajo
1221;0.1;Bajo
1222;0.03;Bajo
1223;0.13;Bajo
1224;0.04;Bajo
1225;0.03;Bajo
1226;0.92;Alto
1227;0.22;Bajo
1228;0.03;Bajo
1229;0.03;Bajo
1230;0.0;
1231;0.08;Bajo
1232;0.13;Bajo
1233;0.12;Bajo
1234;0.02;Bajo
1235;0.0;
1236;0.01;Bajo
1237;0.78;Alto
1238;0.06;Bajo
1239;0.01;Bajo
1240;0.69;Medio
1241;0.11;Bajo
1242;0.0;
1243;0.04;Bajo
1244;0.07;Bajo
1245;0.03;Bajo
1246;0.22;Bajo
1247;0.04;Bajo
1248;0.06;Bajo
1249;0.06;Bajo
1250;0.09;Bajo
1251;0.13;Bajo
1252;0.1;Bajo
1253;0.01;Bajo
1254;0.05;Bajo
1255;0.04;Bajo
1256;0.12;Bajo
1257;0.0;
1258;0.0;
1259;0.3;Bajo
1260;0.01;Bajo
1261;0.69;Medio
1262;0.04;Bajo
1263;0.21;Bajo
1264;0.07;Bajo
1265;0.17;Bajo
1266;0.0;
1267;0.53;Medio
1268;0.12;Bajo
1269;0.11;Bajo
1270;0.17;Bajo
1271;0.01;Bajo
1272;0.6;Medio
1273;0.01;Bajo
1274;0.43;Medio
1275;0.1;Bajo
1276;0.95;Alto
1277;0.18;Bajo
1278;0.64;Medio
1279;0.24;Bajo
1280;0.82;Alto
1281;0.1;Bajo
1282;0.94;Alto
1283;0.0;
1284;0.31;Medio
1285;0.06;Bajo
1286;0.66;Medio
1287;0.06;Bajo
1288;0.0;
1289;0.01;Bajo
1290;0.04;Bajo
1291;0.13;Bajo
1292;0.16;Bajo
1293;0.01;Bajo
1294;0.02;Bajo
1295;0.34;Medio
1296;0.71;Alto
1297;0.62;Medio
1298;0.9;Alto
1299;0.05;Bajo
1300;0.01;Bajo
1301;0.03;Bajo
1302;0.27;Bajo
1303;0.14;Bajo
1304;0.0;
1305;0.02;Bajo
1306;0.0;
1307;0.0;
1308;0.28;Bajo
1309;0.0;
1310;0.02;Bajo
1311;0.0;
1312;0.09;Bajo
1313;0.06;Bajo
1314;0.06;Bajo
1315;0.07;Bajo
1316;0.0;
1317;0.17;Bajo
1318;0.04;Bajo
1319;0.24;Bajo
1320;0.15;Bajo
1321;0.85;Alto
1322;0.39;Medio
1323;0.19;Bajo
1324;0.2;Bajo
1325;0.86;Alto
1326;0.07;Bajo
1327;0.01;Bajo
1328;0.26;Bajo
1329;0.0;
