id_cliente;cluster;nombre_segmento;recencia;frecuencia;monto
85;0;Leales / Frecuentes;280;4;98.5
86;0;Leales / Frecuentes;80;5;116.0
87;0;Leales / Frecuentes;110;7;267.7
88;3;Nuevos / Esporádicos;376;3;180.0
89;1;En Riesgo / Inactivos;11;16;578.7
90;0;Leales / Frecuentes;48;5;92.6
91;3;Nuevos / Esporádicos;334;3;65.25
92;0;Leales / Frecuentes;186;7;278.544
93;0;Leales / Frecuentes;3;7;164.24
94;0;Leales / Frecuentes;153;6;103.3
95;2;Campeones / VIP;5;8;278.9
96;3;Nuevos / Esporádicos;728;1;7.6
97;1;En Riesgo / Inactivos;4;11;745.5
98;2;Campeones / VIP;17;8;416.90000000000003
99;0;Leales / Frecuentes;96;5;302.7
100;3;Nuevos / Esporádicos;433;2;61.4
101;1;En Riesgo / Inactivos;59;16;628.36
102;0;Leales / Frecuentes;40;4;124.19999999999999
103;1;En Riesgo / Inactivos;72;14;539.695
104;0;Leales / Frecuentes;4;5;183.2
105;2;Campeones / VIP;53;8;277.764
106;0;Leales / Frecuentes;114;2;129.6
107;2;Campeones / VIP;96;12;340.0
108;3;Nuevos / Esporádicos;492;3;98.70000000000002
109;2;Campeones / VIP;41;11;216.24
110;2;Campeones / VIP;5;7;487.2
111;0;Leales / Frecuentes;106;6;177.8
112;2;Campeones / VIP;85;11;504.7
113;0;Leales / Frecuentes;138;2;195.2
114;1;En Riesgo / Inactivos;13;10;794.0
115;2;Campeones / VIP;127;10;281.40000000000003
116;2;Campeones / VIP;45;12;510.0
117;0;Leales / Frecuentes;41;5;129.1
118;3;Nuevos / Esporádicos;345;4;284.09999999999997
119;1;En Riesgo / Inactivos;42;18;679.65
120;0;Leales / Frecuentes;18;8;150.70000000000002
121;2;Campeones / VIP;153;9;271.6
122;2;Campeones / VIP;15;7;260.3
123;0;Leales / Frecuentes;85;5;388.59999999999997
124;0;Leales / Frecuentes;154;7;240.2
125;3;Nuevos / Esporádicos;327;4;119.4
126;0;Leales / Frecuentes;218;6;159.7
127;0;Leales / Frecuentes;114;5;208.2
128;2;Campeones / VIP;23;11;339.3
129;3;Nuevos / Esporádicos;525;3;153.0
130;3;Nuevos / Esporádicos;495;2;86.5
131;0;Leales / Frecuentes;150;6;260.2
132;0;Leales / Frecuentes;8;4;133.12
133;2;Campeones / VIP;13;8;412.1
134;0;Leales / Frecuentes;134;4;116.78
135;2;Campeones / VIP;1;7;289.8
136;2;Campeones / VIP;28;10;356.9
137;1;En Riesgo / Inactivos;19;18;750.42
138;0;Leales / Frecuentes;1;5;196.5
139;2;Campeones / VIP;147;12;334.29999999999995
140;2;Campeones / VIP;199;8;447.6
141;0;Leales / Frecuentes;19;8;140.21
142;0;Leales / Frecuentes;26;5;63.465
143;3;Nuevos / Esporádicos;372;3;254.4
144;2;Campeones / VIP;82;8;253.70999999999998
145;0;Leales / Frecuentes;18;7;61.2
146;2;Campeones / VIP;19;12;424.5
147;3;Nuevos / Esporádicos;313;4;96.3
148;0;Leales / Frecuentes;85;6;150.72
149;0;Leales / Frecuentes;47;4;98.19999999999999
150;2;Campeones / VIP;4;11;268.508
151;1;En Riesgo / Inactivos;11;14;712.3
152;1;En Riesgo / Inactivos;161;10;740.8
153;0;Leales / Frecuentes;11;6;113.9
154;0;Leales / Frecuentes;195;3;54.599999999999994
155;0;Leales / Frecuentes;157;2;114.29999999999998
156;3;Nuevos / Esporádicos;727;1;14.0
157;2;Campeones / VIP;76;8;385.1
158;1;En Riesgo / Inactivos;70;23;720.45
159;1;En Riesgo / Inactivos;93;12;663.6999999999999
160;0;Leales / Frecuentes;176;5;129.4
161;0;Leales / Frecuentes;175;2;18.8
162;0;Leales / Frecuentes;137;4;91.3
163;3;Nuevos / Esporádicos;290;3;221.89999999999998
164;2;Campeones / VIP;50;9;382.1
165;3;Nuevos / Esporádicos;366;3;27.400000000000002
166;0;Leales / Frecuentes;98;3;99.3
167;2;Campeones / VIP;139;8;441.9
168;0;Leales / Frecuentes;243;2;161.5
169;0;Leales / Frecuentes;141;3;66.0
170;2;Campeones / VIP;26;10;487.14
171;3;Nuevos / Esporádicos;727;1;54.7
172;0;Leales / Frecuentes;17;5;132.75
173;0;Leales / Frecuentes;36;6;156.7
174;2;Campeones / VIP;58;7;328.24
175;0;Leales / Frecuentes;193;3;107.5
176;3;Nuevos / Esporádicos;546;2;83.2
177;2;Campeones / VIP;139;9;234.49999999999997
178;2;Campeones / VIP;52;13;412.5
179;2;Campeones / VIP;7;7;302.4
180;0;Leales / Frecuentes;94;3;71.9
181;0;Leales / Frecuentes;273;8;147.1
182;0;Leales / Frecuentes;58;7;206.7
183;0;Leales / Frecuentes;70;5;216.1
184;3;Nuevos / Esporádicos;436;5;54.8
185;0;Leales / Frecuentes;19;3;360.2
186;0;Leales / Frecuentes;20;3;216.7
187;2;Campeones / VIP;25;7;489.32399999999996
188;2;Campeones / VIP;6;7;295.9
189;0;Leales / Frecuentes;93;7;265.6
190;2;Campeones / VIP;96;10;246.89999999999998
191;2;Campeones / VIP;106;6;343.79999999999995
192;2;Campeones / VIP;64;9;245.20000000000002
193;0;Leales / Frecuentes;238;8;252.2
194;0;Leales / Frecuentes;62;5;162.0
195;3;Nuevos / Esporádicos;296;4;205.20000000000002
196;3;Nuevos / Esporádicos;726;1;24.9
197;0;Leales / Frecuentes;97;5;178.5
198;1;En Riesgo / Inactivos;19;13;642.5
199;2;Campeones / VIP;135;10;246.2
200;0;Leales / Frecuentes;194;5;88.5
201;0;Leales / Frecuentes;47;3;87.3
202;3;Nuevos / Esporádicos;325;2;50.1
203;0;Leales / Frecuentes;3;3;78.1
204;0;Leales / Frecuentes;13;5;125.60000000000001
205;0;Leales / Frecuentes;87;4;179.04999999999998
206;0;Leales / Frecuentes;57;5;68.1
207;0;Leales / Frecuentes;52;7;199.1
208;3;Nuevos / Esporádicos;422;4;150.5
209;2;Campeones / VIP;7;8;225.168
210;1;En Riesgo / Inactivos;28;15;731.6999999999999
211;0;Leales / Frecuentes;236;4;184.74
212;0;Leales / Frecuentes;1;4;141.8
213;0;Leales / Frecuentes;87;3;73.8
214;2;Campeones / VIP;20;8;313.40000000000003
215;0;Leales / Frecuentes;35;4;63.400000000000006
216;3;Nuevos / Esporádicos;345;5;128.0
217;3;Nuevos / Esporádicos;533;2;16.9
218;2;Campeones / VIP;12;10;336.8
219;0;Leales / Frecuentes;85;5;165.1
220;0;Leales / Frecuentes;180;2;50.4
221;3;Nuevos / Esporádicos;305;3;127.0
222;3;Nuevos / Esporádicos;319;3;158.09999999999997
223;1;En Riesgo / Inactivos;10;14;681.068
224;2;Campeones / VIP;65;12;372.3
225;0;Leales / Frecuentes;164;3;71.6
226;2;Campeones / VIP;30;7;296.7
227;0;Leales / Frecuentes;16;7;210.1
228;0;Leales / Frecuentes;53;4;54.3
229;0;Leales / Frecuentes;263;8;239.0
230;2;Campeones / VIP;15;5;436.894
231;0;Leales / Frecuentes;9;5;63.440000000000005
232;0;Leales / Frecuentes;71;6;251.7
233;0;Leales / Frecuentes;104;3;69.8
234;2;Campeones / VIP;15;7;378.52
235;0;Leales / Frecuentes;11;4;288.82
236;0;Leales / Frecuentes;8;6;129.2
237;2;Campeones / VIP;113;10;267.5
238;0;Leales / Frecuentes;11;6;206.6
239;0;Leales / Frecuentes;140;6;236.2
240;0;Leales / Frecuentes;158;3;78.7
241;0;Leales / Frecuentes;13;8;137.32
242;0;Leales / Frecuentes;62;6;238.2
243;0;Leales / Frecuentes;195;7;283.71
244;0;Leales / Frecuentes;54;3;114.4
245;0;Leales / Frecuentes;234;7;283.53000000000003
246;2;Campeones / VIP;36;8;306.90999999999997
247;0;Leales / Frecuentes;202;3;83.8
248;2;Campeones / VIP;189;8;295.452
249;0;Leales / Frecuentes;275;3;127.5
250;2;Campeones / VIP;95;8;298.16499999999996
251;0;Leales / Frecuentes;186;3;70.2
252;2;Campeones / VIP;41;7;350.0
253;2;Campeones / VIP;28;9;570.98
254;2;Campeones / VIP;7;14;442.16
255;0;Leales / Frecuentes;124;4;55.7
256;1;En Riesgo / Inactivos;194;15;695.1999999999999
257;2;Campeones / VIP;4;11;315.9
258;3;Nuevos / Esporádicos;512;4;245.5
259;0;Leales / Frecuentes;251;2;87.1
260;1;En Riesgo / Inactivos;40;13;757.4
261;0;Leales / Frecuentes;13;6;153.3
262;0;Leales / Frecuentes;104;3;111.5
263;2;Campeones / VIP;2;7;586.84
264;0;Leales / Frecuentes;7;4;81.4
265;2;Campeones / VIP;75;8;238.39999999999998
266;0;Leales / Frecuentes;113;4;189.89999999999998
267;3;Nuevos / Esporádicos;355;2;100.8
268;0;Leales / Frecuentes;14;6;190.1
269;0;Leales / Frecuentes;13;4;148.20000000000002
270;0;Leales / Frecuentes;47;6;224.0
271;0;Leales / Frecuentes;128;6;57.67
272;0;Leales / Frecuentes;2;6;236.79999999999998
273;0;Leales / Frecuentes;253;3;191.8
274;2;Campeones / VIP;23;7;253.2
275;0;Leales / Frecuentes;1;2;23.4
276;0;Leales / Frecuentes;223;2;39.9
277;3;Nuevos / Esporádicos;460;3;124.39999999999999
278;0;Leales / Frecuentes;43;3;34.400000000000006
279;2;Campeones / VIP;52;8;360.2
280;2;Campeones / VIP;28;6;775.3000000000001
281;0;Leales / Frecuentes;109;8;165.5
282;0;Leales / Frecuentes;146;5;274.6
283;2;Campeones / VIP;19;8;241.7
284;0;Leales / Frecuentes;118;3;141.6
285;0;Leales / Frecuentes;9;6;194.98
286;2;Campeones / VIP;72;7;453.6
287;2;Campeones / VIP;12;8;201.72
288;3;Nuevos / Esporádicos;724;1;38.300000000000004
289;0;Leales / Frecuentes;21;7;178.9
290;1;En Riesgo / Inactivos;29;16;624.88
291;0;Leales / Frecuentes;104;3;72.2
292;2;Campeones / VIP;5;10;490.61
293;0;Leales / Frecuentes;33;4;169.6
294;1;En Riesgo / Inactivos;37;17;1084.825
295;2;Campeones / VIP;0;10;531.9
296;0;Leales / Frecuentes;65;8;117.435
297;2;Campeones / VIP;150;8;438.7
298;0;Leales / Frecuentes;211;3;68.7
299;0;Leales / Frecuentes;62;2;79.43
300;0;Leales / Frecuentes;40;4;155.39999999999998
301;2;Campeones / VIP;154;9;595.6
302;0;Leales / Frecuentes;126;6;193.0
303;0;Leales / Frecuentes;162;4;40.0
304;0;Leales / Frecuentes;75;6;276.40999999999997
305;1;En Riesgo / Inactivos;26;12;679.4
306;3;Nuevos / Esporádicos;384;2;180.1
307;3;Nuevos / Esporádicos;414;3;44.599999999999994
308;1;En Riesgo / Inactivos;70;14;564.8149999999999
309;2;Campeones / VIP;53;5;545.7
310;1;En Riesgo / Inactivos;0;14;520.2
311;0;Leales / Frecuentes;19;4;132.7
312;0;Leales / Frecuentes;112;5;382.6
313;2;Campeones / VIP;145;4;689.295
314;0;Leales / Frecuentes;72;5;173.1
315;2;Campeones / VIP;161;11;526.9
316;3;Nuevos / Esporádicos;483;4;129.79999999999998
317;0;Leales / Frecuentes;2;3;81.0
318;0;Leales / Frecuentes;11;4;153.79999999999998
319;1;En Riesgo / Inactivos;7;19;646.48
320;0;Leales / Frecuentes;5;7;230.29999999999998
321;0;Leales / Frecuentes;5;4;221.0
322;0;Leales / Frecuentes;18;7;158.2
323;0;Leales / Frecuentes;30;7;116.1
324;0;Leales / Frecuentes;17;8;166.79999999999998
325;2;Campeones / VIP;9;9;221.1
326;2;Campeones / VIP;31;10;623.3
327;2;Campeones / VIP;124;14;455.5
328;2;Campeones / VIP;121;11;214.2
329;0;Leales / Frecuentes;121;5;345.59999999999997
330;0;Leales / Frecuentes;47;5;132.95499999999998
331;2;Campeones / VIP;1;6;383.4
332;2;Campeones / VIP;3;6;390.51
333;0;Leales / Frecuentes;131;5;256.5
334;2;Campeones / VIP;151;8;399.5
335;3;Nuevos / Esporádicos;359;4;111.4
336;0;Leales / Frecuentes;174;6;339.6
337;0;Leales / Frecuentes;135;4;323.21
338;1;En Riesgo / Inactivos;49;14;583.4
339;3;Nuevos / Esporádicos;416;2;23.7
340;2;Campeones / VIP;42;8;236.60000000000002
341;0;Leales / Frecuentes;192;8;198.8
342;0;Leales / Frecuentes;211;2;117.39999999999999
343;0;Leales / Frecuentes;205;7;302.63
344;2;Campeones / VIP;220;7;533.465
345;0;Leales / Frecuentes;118;4;158.5
346;0;Leales / Frecuentes;49;6;138.2
347;0;Leales / Frecuentes;255;2;18.1
348;2;Campeones / VIP;76;10;173.9
349;0;Leales / Frecuentes;6;6;129.5
350;0;Leales / Frecuentes;31;5;88.9
351;0;Leales / Frecuentes;166;6;141.82
352;2;Campeones / VIP;24;9;290.3
353;3;Nuevos / Esporádicos;723;1;27.799999999999997
354;0;Leales / Frecuentes;18;6;230.9
355;2;Campeones / VIP;17;9;626.0
356;0;Leales / Frecuentes;180;3;155.9
357;3;Nuevos / Esporádicos;374;4;44.7
358;3;Nuevos / Esporádicos;723;1;14.700000000000001
359;2;Campeones / VIP;22;13;380.59999999999997
360;1;En Riesgo / Inactivos;9;13;613.0
361;3;Nuevos / Esporádicos;495;2;127.29999999999998
362;0;Leales / Frecuentes;65;5;102.69999999999999
363;0;Leales / Frecuentes;19;3;263.09999999999997
364;0;Leales / Frecuentes;137;6;123.8
365;0;Leales / Frecuentes;62;4;185.4
366;3;Nuevos / Esporádicos;296;3;86.9
367;0;Leales / Frecuentes;186;5;125.39999999999999
368;2;Campeones / VIP;24;14;343.65
369;0;Leales / Frecuentes;39;3;74.0
370;3;Nuevos / Esporádicos;348;3;77.6
371;0;Leales / Frecuentes;87;4;234.89999999999998
372;1;En Riesgo / Inactivos;62;11;706.71
373;3;Nuevos / Esporádicos;611;2;37.6
374;0;Leales / Frecuentes;164;5;296.5
375;2;Campeones / VIP;150;11;307.2
376;0;Leales / Frecuentes;132;2;120.7
377;2;Campeones / VIP;4;12;387.25
378;0;Leales / Frecuentes;92;4;80.60999999999999
379;1;En Riesgo / Inactivos;4;26;1080.965
380;0;Leales / Frecuentes;57;4;83.3
381;3;Nuevos / Esporádicos;295;4;177.3
382;2;Campeones / VIP;29;8;338.924
383;0;Leales / Frecuentes;121;3;95.6
384;0;Leales / Frecuentes;61;4;250.2
385;1;En Riesgo / Inactivos;20;14;706.884
386;0;Leales / Frecuentes;126;6;146.8
387;0;Leales / Frecuentes;171;4;249.5
388;0;Leales / Frecuentes;164;5;241.2
389;2;Campeones / VIP;36;15;330.4
390;1;En Riesgo / Inactivos;68;13;697.21
391;0;Leales / Frecuentes;75;6;197.50000000000003
392;0;Leales / Frecuentes;20;5;109.39999999999999
393;0;Leales / Frecuentes;218;6;130.8
394;2;Campeones / VIP;18;7;291.2
395;2;Campeones / VIP;31;12;357.92
396;1;En Riesgo / Inactivos;19;14;486.59999999999997
397;3;Nuevos / Esporádicos;447;3;28.01
398;0;Leales / Frecuentes;244;4;181.7
399;1;En Riesgo / Inactivos;0;14;565.8679999999999
400;2;Campeones / VIP;57;9;311.6
401;0;Leales / Frecuentes;112;4;101.0
402;2;Campeones / VIP;3;11;537.1999999999999
403;2;Campeones / VIP;120;10;358.6
404;1;En Riesgo / Inactivos;20;18;1010.62
405;2;Campeones / VIP;111;8;242.89999999999998
406;2;Campeones / VIP;62;9;154.4
407;0;Leales / Frecuentes;75;4;220.7
408;3;Nuevos / Esporádicos;483;2;13.100000000000001
409;1;En Riesgo / Inactivos;170;13;921.525
410;1;En Riesgo / Inactivos;2;17;575.85
411;0;Leales / Frecuentes;15;5;114.8
412;0;Leales / Frecuentes;103;6;135.4
413;0;Leales / Frecuentes;94;5;118.3
414;3;Nuevos / Esporádicos;558;2;51.99999999999999
415;0;Leales / Frecuentes;82;2;78.92
416;0;Leales / Frecuentes;86;7;131.255
417;2;Campeones / VIP;32;9;346.3
418;0;Leales / Frecuentes;0;5;63.8
419;0;Leales / Frecuentes;165;3;41.6
420;1;En Riesgo / Inactivos;189;9;764.9000000000001
421;2;Campeones / VIP;18;9;263.7
422;1;En Riesgo / Inactivos;3;14;521.81
423;1;En Riesgo / Inactivos;58;15;474.23
424;0;Leales / Frecuentes;22;3;374.3
425;0;Leales / Frecuentes;144;5;122.5
426;2;Campeones / VIP;4;13;485.5
427;2;Campeones / VIP;3;9;534.9
428;0;Leales / Frecuentes;252;6;400.145
429;0;Leales / Frecuentes;178;3;83.0
430;0;Leales / Frecuentes;65;7;93.7
431;3;Nuevos / Esporádicos;318;2;170.9
432;0;Leales / Frecuentes;242;4;114.7
433;0;Leales / Frecuentes;22;5;105.2
434;1;En Riesgo / Inactivos;26;19;1123.7
435;0;Leales / Frecuentes;2;6;271.5
436;0;Leales / Frecuentes;74;4;103.4
437;0;Leales / Frecuentes;140;7;186.13
438;2;Campeones / VIP;72;8;316.7
439;0;Leales / Frecuentes;63;2;489.20000000000005
440;2;Campeones / VIP;28;7;257.9
441;3;Nuevos / Esporádicos;528;3;38.400000000000006
442;2;Campeones / VIP;59;8;215.55
443;3;Nuevos / Esporádicos;490;2;18.6
444;0;Leales / Frecuentes;18;7;227.6
445;2;Campeones / VIP;166;8;281.7
446;0;Leales / Frecuentes;60;5;151.015
447;1;En Riesgo / Inactivos;26;12;757.15
448;0;Leales / Frecuentes;103;4;194.4
449;3;Nuevos / Esporádicos;417;5;251.0
450;0;Leales / Frecuentes;105;4;193.8
451;0;Leales / Frecuentes;168;6;65.2
452;0;Leales / Frecuentes;47;5;85.10000000000001
453;0;Leales / Frecuentes;53;7;164.4
454;0;Leales / Frecuentes;122;8;199.5
455;2;Campeones / VIP;8;11;483.5
456;2;Campeones / VIP;108;10;258.5
457;2;Campeones / VIP;11;15;421.5
458;2;Campeones / VIP;55;10;278.25
459;0;Leales / Frecuentes;81;5;272.3
460;2;Campeones / VIP;104;9;359.5
461;3;Nuevos / Esporádicos;386;2;58.5
462;0;Leales / Frecuentes;105;5;153.6
463;3;Nuevos / Esporádicos;522;3;122.6
464;0;Leales / Frecuentes;278;8;288.4
465;0;Leales / Frecuentes;114;3;124.9
466;1;En Riesgo / Inactivos;12;18;701.288
467;2;Campeones / VIP;60;11;223.4
468;0;Leales / Frecuentes;211;7;218.8
469;1;En Riesgo / Inactivos;22;14;511.0
470;2;Campeones / VIP;108;8;458.2
471;1;En Riesgo / Inactivos;133;14;706.7
472;3;Nuevos / Esporádicos;609;2;97.1
473;1;En Riesgo / Inactivos;55;11;904.9
474;2;Campeones / VIP;24;9;521.6999999999999
475;1;En Riesgo / Inactivos;53;17;532.592
476;3;Nuevos / Esporádicos;467;2;63.2
477;2;Campeones / VIP;53;10;536.7
478;0;Leales / Frecuentes;76;2;320.1
479;1;En Riesgo / Inactivos;34;13;810.31
480;3;Nuevos / Esporádicos;339;2;19.8
481;0;Leales / Frecuentes;37;7;116.80000000000001
482;3;Nuevos / Esporádicos;442;2;29.89
483;0;Leales / Frecuentes;31;3;26.700000000000003
484;0;Leales / Frecuentes;13;5;141.5
485;0;Leales / Frecuentes;170;3;63.5
486;2;Campeones / VIP;47;7;297.0
487;1;En Riesgo / Inactivos;37;11;731.44
488;0;Leales / Frecuentes;173;6;204.39999999999998
489;0;Leales / Frecuentes;31;4;97.3
490;0;Leales / Frecuentes;99;7;220.6
491;0;Leales / Frecuentes;296;4;285.516
492;3;Nuevos / Esporádicos;720;1;61.4
493;0;Leales / Frecuentes;231;4;135.6
494;2;Campeones / VIP;51;14;370.89
495;0;Leales / Frecuentes;49;4;138.4
496;0;Leales / Frecuentes;2;5;109.69999999999999
497;3;Nuevos / Esporádicos;370;4;171.60399999999998
498;0;Leales / Frecuentes;29;7;189.7
499;3;Nuevos / Esporádicos;330;3;65.0
500;1;En Riesgo / Inactivos;17;13;580.9
501;0;Leales / Frecuentes;51;4;170.3
502;3;Nuevos / Esporádicos;719;1;21.5
503;2;Campeones / VIP;40;9;420.8
504;2;Campeones / VIP;108;8;444.4
505;0;Leales / Frecuentes;75;6;182.7
506;0;Leales / Frecuentes;236;4;179.0
507;1;En Riesgo / Inactivos;50;17;994.4
508;3;Nuevos / Esporádicos;268;2;33.099999999999994
509;2;Campeones / VIP;26;10;522.4000000000001
510;1;En Riesgo / Inactivos;92;12;858.3000000000001
511;0;Leales / Frecuentes;2;7;143.13
512;2;Campeones / VIP;91;11;366.76
513;2;Campeones / VIP;25;10;515.0
514;1;En Riesgo / Inactivos;15;15;498.5
515;1;En Riesgo / Inactivos;148;13;937.8
516;2;Campeones / VIP;16;7;272.3
517;0;Leales / Frecuentes;282;5;162.6
518;2;Campeones / VIP;61;13;205.096
519;2;Campeones / VIP;153;7;310.1
520;2;Campeones / VIP;13;10;539.6999999999999
521;0;Leales / Frecuentes;265;4;305.6
522;3;Nuevos / Esporádicos;608;2;68.5
523;0;Leales / Frecuentes;243;4;104.39999999999999
524;0;Leales / Frecuentes;125;6;210.39999999999998
525;0;Leales / Frecuentes;71;3;64.9
526;2;Campeones / VIP;103;9;190.5
527;3;Nuevos / Esporádicos;493;3;27.9
528;3;Nuevos / Esporádicos;422;4;96.0
529;1;En Riesgo / Inactivos;33;14;509.15
530;0;Leales / Frecuentes;160;4;147.5
531;0;Leales / Frecuentes;48;5;206.93
532;1;En Riesgo / Inactivos;69;19;805.865
533;2;Campeones / VIP;57;10;346.29999999999995
534;3;Nuevos / Esporádicos;719;1;8.9
535;2;Campeones / VIP;76;11;374.21
536;2;Campeones / VIP;126;7;416.7
537;0;Leales / Frecuentes;183;6;212.8
538;1;En Riesgo / Inactivos;1;13;732.5
539;2;Campeones / VIP;74;10;268.852
540;3;Nuevos / Esporádicos;719;1;114.3
541;0;Leales / Frecuentes;163;4;157.5
542;2;Campeones / VIP;40;12;433.3
543;2;Campeones / VIP;16;8;233.1
544;1;En Riesgo / Inactivos;14;12;662.89
545;2;Campeones / VIP;56;10;235.6
546;2;Campeones / VIP;14;8;529.6999999999999
547;2;Campeones / VIP;32;11;315.1
548;0;Leales / Frecuentes;82;2;49.6
549;0;Leales / Frecuentes;2;6;113.5
550;3;Nuevos / Esporádicos;439;2;270.09999999999997
551;1;En Riesgo / Inactivos;2;17;601.2
552;0;Leales / Frecuentes;120;4;150.4
553;2;Campeones / VIP;64;11;536.3
554;2;Campeones / VIP;3;6;408.9
555;1;En Riesgo / Inactivos;116;7;875.9000000000001
556;0;Leales / Frecuentes;277;7;152.5
557;0;Leales / Frecuentes;121;5;124.3
558;2;Campeones / VIP;15;8;420.5
559;0;Leales / Frecuentes;76;6;264.4
560;0;Leales / Frecuentes;23;5;142.18
561;2;Campeones / VIP;1;6;370.912
562;0;Leales / Frecuentes;80;7;87.2
563;3;Nuevos / Esporádicos;317;5;58.3
564;2;Campeones / VIP;65;9;270.7
565;1;En Riesgo / Inactivos;9;6;1015.3000000000001
566;2;Campeones / VIP;63;8;285.656
567;0;Leales / Frecuentes;226;4;138.8
568;3;Nuevos / Esporádicos;345;4;181.7
569;1;En Riesgo / Inactivos;24;15;451.12
570;1;En Riesgo / Inactivos;67;12;617.1999999999999
571;3;Nuevos / Esporádicos;718;1;3.2
572;0;Leales / Frecuentes;104;4;209.60000000000002
573;2;Campeones / VIP;34;9;418.9
574;2;Campeones / VIP;215;12;251.0
575;3;Nuevos / Esporádicos;482;3;108.19999999999999
576;0;Leales / Frecuentes;258;4;156.1
577;2;Campeones / VIP;72;9;273.3
578;3;Nuevos / Esporádicos;337;2;36.5
579;0;Leales / Frecuentes;23;3;250.79999999999998
580;0;Leales / Frecuentes;175;6;171.43
581;3;Nuevos / Esporádicos;615;2;73.3
582;0;Leales / Frecuentes;153;4;190.2
583;2;Campeones / VIP;143;9;572.8
584;2;Campeones / VIP;93;8;324.8
585;3;Nuevos / Esporádicos;718;1;23.700000000000003
586;2;Campeones / VIP;29;8;429.0
