id_venta;numero_linea;fecha;id_cliente;id_tienda;id_producto;id_promocion;cantidad;precio_unitario_lista;descuento_pct;precio_unitario_final;importe_venta;costo_total;margen
86;1;02/01/2024;86;1;479;1;1;69.9;0.0;69.9;69.9;53.7;16.2
87;1;02/01/2024;87;1;365;1;2;13.9;0.0;13.9;27.8;19.8;8.0
88;1;02/01/2024;88;3;24;1;1;7.9;0.0;7.9;7.9;5.4;2.5
88;2;02/01/2024;88;3;162;1;1;18.9;0.0;18.9;18.9;13.4;5.5
89;1;02/01/2024;89;4;129;1;2;18.9;0.0;18.9;37.8;26.4;11.4
90;1;02/01/2024;90;3;344;1;2;4.5;0.0;4.5;9.0;5.8;3.2
91;1;03/01/2024;91;13;30;1;2;4.7;0.0;4.7;9.4;5.6;3.8
91;2;03/01/2024;91;13;92;1;1;8.1;0.0;8.1;8.1;5.6;2.5
92;1;03/01/2024;92;13;477;1;1;39.9;0.0;39.9;39.9;29.8;10.1
93;1;03/01/2024;93;11;188;1;1;4.9;0.0;4.9;4.9;3.1;1.8
93;2;03/01/2024;93;11;11;1;1;7.2;0.0;7.2;7.2;4.7;2.5
94;1;03/01/2024;94;3;356;1;1;8.9;0.0;8.9;8.9;6.1;2.8
95;1;03/01/2024;95;11;368;1;1;18.9;0.0;18.9;18.9;13.6;5.3
96;1;03/01/2024;96;14;148;1;1;4.7;0.0;4.7;4.7;3.0;1.7
96;2;03/01/2024;96;14;263;1;1;2.9;0.0;2.9;2.9;1.8;1.1
97;1;03/01/2024;97;3;17;1;1;4.6;0.0;4.6;4.6;2.8;1.8
98;1;03/01/2024;98;10;258;1;2;2.5;0.0;2.5;5.0;3.0;2.0
98;2;03/01/2024;98;10;149;1;1;7.9;0.0;7.9;7.9;5.5;2.4
98;3;03/01/2024;98;10;266;1;3;6.9;0.0;6.9;20.7;14.4;6.3
98;4;03/01/2024;98;10;130;1;4;8.9;0.0;8.9;35.6;23.6;12.0
99;1;03/01/2024;99;4;63;1;1;6.2;0.0;6.2;6.2;4.1;2.1
100;1;03/01/2024;100;11;245;1;2;14.9;0.0;14.9;29.8;21.6;8.2
101;1;03/01/2024;101;3;211;1;1;16.5;0.0;16.5;16.5;12.1;4.4
101;2;03/01/2024;101;3;11;1;1;7.2;0.0;7.2;7.2;4.7;2.5
102;1;03/01/2024;102;5;298;1;5;7.9;0.0;7.9;39.5;26.0;13.5
103;1;03/01/2024;103;9;404;1;1;58.9;0.0;58.9;58.9;44.8;14.1
104;1;03/01/2024;104;11;319;1;4;19.9;0.0;19.9;79.6;56.8;22.8
104;2;03/01/2024;104;11;298;1;1;7.9;0.0;7.9;7.9;5.2;2.7
104;3;03/01/2024;104;11;308;1;2;10.9;0.0;10.9;21.8;15.2;6.6
105;1;03/01/2024;105;3;148;1;2;4.7;0.0;4.7;9.4;6.0;3.4
106;1;03/01/2024;106;15;53;1;2;5.9;0.0;5.9;11.8;7.6;4.2
106;2;03/01/2024;106;15;2;1;3;31.9;0.0;31.9;95.7;71.4;24.3
106;3;03/01/2024;106;15;42;1;1;13.2;0.0;13.2;13.2;9.1;4.1
107;1;03/01/2024;107;13;90;1;2;6.5;0.0;6.5;13.0;8.8;4.2
107;2;03/01/2024;107;13;18;1;1;4.2;0.0;4.2;4.2;2.5;1.7
107;3;03/01/2024;107;13;89;1;1;8.9;0.0;8.9;8.9;6.2;2.7
107;4;03/01/2024;107;13;163;1;1;12.9;;12.9;12.9;9.1;3.8
107;5;03/01/2024;107;13;58;1;2;7.8;0.0;7.8;15.6;10.4;5.2
108;1;03/01/2024;108;8;357;1;1;7.9;0.0;7.9;7.9;5.4;2.5
109;1;03/01/2024;109;14;323;1;1;7.9;0.0;7.9;7.9;5.3;2.6
110;1;03/01/2024;110;11;279;1;2;15.9;0.0;15.9;31.8;22.8;9.0
110;2;03/01/2024;110;11;317;1;4;17.9;0.0;17.9;71.6;52.4;19.2
111;1;03/01/2024;111;7;112;1;1;3.8;0.0;3.8;3.8;2.3;1.5
112;1;03/01/2024;112;7;280;1;2;10.9;0.0;10.9;21.8;14.8;7.0
113;1;03/01/2024;113;4;158;1;3;16.9;0.0;16.9;50.7;35.4;15.3
113;2;03/01/2024;113;4;231;1;4;9.9;0.0;9.9;39.6;27.6;12.0
113;3;03/01/2024;113;4;238;1;1;3.5;0.0;3.5;3.5;2.2;1.3
113;4;03/01/2024;113;4;381;1;4;18.9;0.0;18.9;75.6;55.2;20.4
114;1;03/01/2024;114;7;179;1;4;9.9;0.0;9.9;39.6;27.6;12.0
115;1;03/01/2024;115;11;323;1;1;7.9;0.0;7.9;7.9;5.3;2.6
116;1;03/01/2024;116;7;406;1;1;64.9;0.0;64.9;64.9;49.5;15.4
117;1;03/01/2024;117;7;103;1;1;2.3;0.0;2.3;2.3;1.3;1.0
117;2;03/01/2024;117;7;137;1;4;4.9;0.0;4.9;19.6;12.4;7.2
117;3;03/01/2024;117;7;241;1;4;6.9;0.0;6.9;27.6;18.4;9.2
118;1;03/01/2024;118;7;499;1;1;89.9;0.0;89.9;89.9;69.4;20.5
119;1;03/01/2024;119;2;55;1;1;8.4;0.0;8.4;8.4;5.6;2.8
119;2;03/01/2024;119;2;91;1;2;7.2;0.0;7.2;14.4;9.8;4.6
120;1;03/01/2024;120;1;248;1;1;2.5;0.0;2.5;2.5;1.5;1.0
121;1;03/01/2024;121;4;309;1;2;8.9;0.0;8.9;17.8;12.0;5.8
122;1;03/01/2024;122;4;445;1;1;24.9;0.0;24.9;24.9;18.8;6.1
123;1;03/01/2024;123;5;281;1;1;9.9;0.0;9.9;9.9;6.7;3.2
124;1;03/01/2024;124;2;141;1;2;4.5;0.0;4.5;9.0;5.8;3.2
125;1;03/01/2024;125;1;248;1;1;2.5;0.0;2.5;2.5;1.5;1.0
126;1;03/01/2024;126;11;188;1;2;4.9;0.0;4.9;9.8;6.2;3.6
127;1;03/01/2024;127;7;62;1;1;6.8;0.0;6.8;6.8;4.6;2.2
128;1;03/01/2024;128;15;73;1;1;6.2;0.0;6.2;6.2;4.2;2.0
129;1;03/01/2024;129;3;32;1;4;5.2;0.0;5.2;20.8;13.2;7.6
130;1;03/01/2024;130;11;144;1;3;7.2;0.0;7.2;21.6;14.7;6.9
130;2;03/01/2024;130;11;128;1;2;15.9;0.0;15.9;31.8;21.6;10.2
130;3;03/01/2024;130;11;143;1;1;6.5;0.0;6.5;6.5;4.3;2.2
131;1;03/01/2024;131;12;233;1;1;7.9;0.0;7.9;7.9;5.3;2.6
132;1;03/01/2024;132;10;344;1;1;4.5;0.0;4.5;4.5;2.9;1.6
132;2;03/01/2024;132;10;363;1;1;16.9;0.0;16.9;16.9;12.1;4.8
132;3;03/01/2024;132;10;357;1;1;7.9;0.0;7.9;7.9;5.4;2.5
132;4;03/01/2024;132;10;352;1;2;5.9;0.0;5.9;11.8;8.2;3.6
132;5;03/01/2024;132;10;364;1;2;16.9;0.0;16.9;33.8;24.2;9.6
133;1;03/01/2024;133;13;170;1;2;6.9;0.0;6.9;13.8;9.2;4.6
134;1;03/01/2024;134;11;122;1;2;9.5;0.0;9.5;19.0;12.2;6.8
134;2;03/01/2024;134;11;152;1;1;10.2;0.0;10.2;10.2;7.1;3.1
135;1;03/01/2024;135;7;160;1;1;17.9;0.0;17.9;17.9;12.6;5.3
136;1;04/01/2024;136;7;238;1;1;3.5;0.0;3.5;3.5;2.2;1.3
137;1;04/01/2024;137;1;213;1;2;14.9;0.0;14.9;29.8;21.6;8.2
137;2;04/01/2024;137;1;197;1;2;4.5;0.0;4.5;9.0;5.8;3.2
138;1;04/01/2024;138;6;1;1;1;6.9;0.0;6.9;6.9;4.4;2.5
138;2;04/01/2024;138;6;67;1;1;5.5;0.0;5.5;5.5;3.6;1.9
139;1;04/01/2024;139;3;14;1;1;12.9;0.0;12.9;12.9;9.1;3.8
139;2;04/01/2024;139;3;70;1;2;11.9;0.0;11.9;23.8;16.2;7.6
139;3;04/01/2024;139;3;47;1;1;39.9;0.0;39.9;39.9;28.7;11.2
140;1;04/01/2024;140;2;428;1;1;79.9;0.0;79.9;79.9;61.5;18.4
140;2;04/01/2024;140;2;457;1;1;89.9;0.0;89.9;89.9;69.8;20.1
141;1;04/01/2024;141;7;55;1;2;8.4;0.0;8.4;16.8;11.2;5.6
142;1;04/01/2024;142;4;189;1;1;3.9;0.0;3.9;3.9;2.4;1.5
143;1;04/01/2024;143;4;14;1;1;12.9;0.0;12.9;12.9;9.1;3.8
143;2;04/01/2024;143;4;45;1;2;59.9;0.0;59.9;119.8;88.4;31.4
143;3;04/01/2024;143;4;214;1;1;23.9;0.0;23.9;23.9;18.1;5.8
144;1;04/01/2024;144;7;178;1;2;12.9;0.0;12.9;25.8;18.2;7.6
145;1;04/01/2024;145;8;190;1;1;3.5;0.0;3.5;3.5;2.2;1.3
146;1;04/01/2024;146;4;45;1;1;59.9;0.0;59.9;59.9;44.2;15.7
147;1;04/01/2024;147;7;427;1;2;12.9;0.0;12.9;25.8;17.8;8.0
148;1;04/01/2024;148;7;56;1;3;7.9;0.0;7.9;23.7;15.6;8.1
149;1;04/01/2024;149;8;134;1;1;14.9;0.0;14.9;14.9;10.1;4.8
150;1;04/01/2024;150;8;120;1;1;8.9;0.0;8.9;8.9;5.6;3.3
150;2;04/01/2024;150;8;150;1;1;9.9;;9.9;9.9;6.8;3.1
151;1;04/01/2024;151;2;233;1;2;7.9;0.0;7.9;15.8;10.6;5.2
152;1;04/01/2024;152;1;319;1;2;19.9;0.0;19.9;39.8;28.4;11.4
153;1;04/01/2024;153;2;290;1;1;7.2;0.0;7.2;7.2;4.8;2.4
153;2;04/01/2024;153;2;324;1;1;8.2;0.0;8.2;8.2;5.6;2.6
153;3;04/01/2024;153;2;343;1;1;3.5;0.0;3.5;3.5;2.2;1.3
154;1;04/01/2024;154;4;100;1;1;9.9;0.0;9.9;9.9;6.8;3.1
155;1;04/01/2024;155;7;298;1;2;7.9;0.0;7.9;15.8;10.4;5.4
155;2;04/01/2024;155;7;287;1;3;16.9;0.0;16.9;50.7;36.6;14.1
156;1;04/01/2024;156;1;117;1;4;3.5;0.0;3.5;14.0;8.4;5.6
157;1;04/01/2024;157;8;120;1;1;8.9;0.0;8.9;8.9;5.6;3.3
157;2;04/01/2024;157;8;153;1;1;13.9;0.0;13.9;13.9;9.8;4.1
157;3;04/01/2024;157;8;257;1;1;24.9;0.0;24.9;24.9;18.5;6.4
158;1;04/01/2024;158;8;119;1;1;8.9;0.0;8.9;8.9;5.6;3.3
158;2;04/01/2024;158;8;155;1;3;4.5;0.0;4.5;13.5;8.7;4.8
159;1;04/01/2024;159;3;127;1;3;23.9;0.0;23.9;71.7;49.5;22.2
160;1;04/01/2024;160;7;12;1;1;6.8;0.0;6.8;6.8;4.3;2.5
161;1;04/01/2024;161;10;211;1;1;16.5;0.0;16.5;16.5;12.1;4.4
162;1;04/01/2024;162;7;332;1;1;16.9;0.0;16.9;16.9;11.9;5.0
163;1;04/01/2024;163;2;55;1;1;8.4;0.0;8.4;8.4;5.6;2.8
164;1;04/01/2024;164;2;404;1;2;58.9;0.0;58.9;117.8;89.6;28.2
164;2;04/01/2024;164;2;417;1;1;69.9;0.0;69.9;69.9;54.2;15.7
165;1;04/01/2024;165;4;394;1;1;9.9;0.0;9.9;9.9;6.9;3.0
166;1;04/01/2024;166;12;237;1;2;14.9;0.0;14.9;29.8;21.8;8.0
167;1;04/01/2024;167;2;30;1;1;4.7;0.0;4.7;4.7;2.8;1.9
168;1;04/01/2024;168;14;445;1;1;24.9;0.0;24.9;24.9;18.8;6.1
168;2;04/01/2024;168;14;456;1;1;119.9;0.0;119.9;119.9;95.4;24.5
169;1;04/01/2024;169;12;328;1;2;18.9;0.0;18.9;37.8;27.2;10.6
170;1;04/01/2024;170;8;220;1;3;32.9;0.0;32.9;98.7;75.6;23.1
171;1;04/01/2024;171;9;170;1;4;6.9;0.0;6.9;27.6;18.4;9.2
171;2;04/01/2024;171;9;102;1;1;5.9;0.0;5.9;5.9;3.4;2.5
171;3;04/01/2024;171;9;171;1;1;7.2;0.0;7.2;7.2;4.9;2.3
171;4;04/01/2024;171;9;190;1;4;3.5;0.0;3.5;14.0;8.8;5.2
172;1;04/01/2024;172;14;343;1;1;3.5;0.0;3.5;3.5;2.2;1.3
172;2;04/01/2024;172;14;332;1;1;16.9;0.0;16.9;16.9;11.9;5.0
173;1;04/01/2024;173;9;1;1;3;6.9;0.0;6.9;20.7;13.2;7.5
174;1;04/01/2024;174;5;63;1;5;6.2;0.0;6.2;31.0;20.5;10.5
175;1;04/01/2024;175;15;345;1;1;4.9;0.0;4.9;4.9;3.2;1.7
175;2;04/01/2024;175;15;368;1;3;18.9;0.0;18.9;56.7;40.8;15.9
175;3;04/01/2024;175;15;350;1;1;5.9;0.0;5.9;5.9;3.9;2.0
176;1;04/01/2024;176;6;210;1;1;15.9;0.0;15.9;15.9;11.6;4.3
176;2;04/01/2024;176;6;9;1;1;32.5;0.0;32.5;32.5;24.3;8.2
177;1;04/01/2024;177;12;317;1;2;17.9;0.0;17.9;35.8;26.2;9.6
178;1;04/01/2024;178;1;6;1;1;6.5;0.0;6.5;6.5;4.1;2.4
179;1;04/01/2024;179;9;20;1;1;5.3;0.0;5.3;5.3;3.2;2.1
180;1;04/01/2024;180;9;225;1;1;28.9;0.0;28.9;28.9;22.1;6.8
181;1;05/01/2024;181;10;110;1;1;8.9;0.0;8.9;8.9;5.7;3.2
182;1;05/01/2024;182;4;172;1;1;4.5;0.0;4.5;4.5;2.9;1.6
183;1;05/01/2024;183;8;436;1;3;12.9;0.0;12.9;38.7;26.7;12.0
183;2;05/01/2024;183;8;462;1;1;16.9;0.0;16.9;16.9;11.9;5.0
184;1;05/01/2024;184;4;120;1;1;8.9;0.0;8.9;8.9;5.6;3.3
185;1;05/01/2024;185;12;365;1;4;13.9;0.0;13.9;55.6;39.6;16.0
186;1;05/01/2024;186;15;119;1;2;8.9;0.0;8.9;17.8;11.2;6.6
186;2;05/01/2024;186;15;264;1;3;3.5;0.0;3.5;10.5;6.9;3.6
187;1;05/01/2024;187;7;288;1;3;6.5;0.0;6.5;19.5;12.6;6.9
188;1;05/01/2024;188;7;48;1;2;11.9;0.0;11.9;23.8;16.4;7.4
